FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid-43fc473f_19185bab7bf_-629e,POINT (4.358 50.797),6447,2004-01-22T00:00:00,1006.26,2.23,3.25,0.85,71.72,1.4,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-629d,POINT (4.358 50.797),6447,2004-01-23T00:00:00,1004.46,2.42,5.42,0.23,80.64,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-629c,POINT (4.358 50.797),6447,2004-01-24T00:00:00,1001.41,3.89,6.86,2.08,86.37,1.6,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-629b,POINT (4.358 50.797),6447,2004-01-25T00:00:00,1001.76,3.44,6.06,0.76,90.22,0.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-629a,POINT (4.358 50.797),6447,2004-01-26T00:00:00,990.61,0.83,2.69,-0.88,83.96,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6299,POINT (4.358 50.797),6447,2004-01-27T00:00:00,991.14,0.1,1.01,-0.96,92.36,0.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6298,POINT (4.358 50.797),6447,2004-01-28T00:00:00,987.53,0.52,2.44,-0.62,92.08,5.4,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6297,POINT (4.358 50.797),6447,2004-01-29T00:00:00,993.79,0.36,2.12,-2.19,89.6,2.4,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6296,POINT (4.358 50.797),6447,2004-01-30T00:00:00,999.2,1.18,2.99,-0.85,68.56,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6295,POINT (4.358 50.797),6447,2004-01-31T00:00:00,990.12,7.53,11.71,2.94,78.11,3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
